"Package Name","Stage","Current State","Total Usage","Last Used"
"Adobe Reader 2.0.0.720","Published","Current","2","2023-11-17"
"Prusa Slicer 2.6.1","Published","Current","2","2023-11-17"
"Chrome 1.3.36.312","Published","Current","1","2023-11-17"
"Firefox 18.5","Published","Current","1","2023-11-17"
"Notepad++ 8.5.8","Published","Current","3","2023-11-17"
"Zoom 5.16.0","Published","Current","175","2024-01-03"
"WinSCP 6.1.2","Published","Current","1","2023-11-17"
"VLC 3.0.30","Published","Current","2","2023-11-17"
"Open Office 4.1.1.4","Published","Current","1","2023-11-17"
"GreenShot 1.2.10.6","Published","Current","1","2023-11-17"
"Putty 0.79","Published","Current","1","2023-11-17"
"7Zip 2301","Published","Current","1","2023-11-17"
"Blender 4.0.1","Published","Current","1","2023-11-17"
"Wireshark 4.2.0","Published","Current","1","2023-11-17"
"Office 365, Teams, OneDrive","Published","Current","510","2024-01-03"
"Office 365, Teams, OneDrive-update","New","Not Current","0","Never"
