"User Name","Total Logins","Last Login Date"
"CHRISLAB\Administrator","30","Nov 17 2023 02:01PM"
"CHRISLAB\AppVolHRZ","0",
"CHRISLAB\AppVolLDAP","0",
"CHRISLAB\AppVolvCenter","0",
"CHRISLAB\Chris","34","Dec 10 2023 11:20AM"
"CHRISLAB\HRZTest","0",
"CHRISLAB\Test1","334","Jan 02 2024 07:23PM"
"CHRISLAB\Test15","0",
"CHRISLAB\Test19","0",
"CHRISLAB\Test2","336","Jan 02 2024 08:23PM"
"CHRISLAB\Test3","333","Jan 02 2024 06:23PM"
"CHRISLAB\Test4","333","Jan 02 2024 06:53PM"
"CHRISLAB\Test5","332","Jan 02 2024 07:53PM"
